task,target_index,metric,valid,test
toxcast,219,auc,0.5032608695652174,0.5511764705882353
toxcast,220,auc,0.55,0.608251633986928
toxcast,221,auc,0.5534146341463415,0.4435840707964602
toxcast,222,auc,0.4691011235955056,0.505328798185941
toxcast,223,auc,0.5347701149425287,0.5254360465116279
toxcast,224,auc,0.5471264367816092,0.5427320075757576
toxcast,225,auc,0.5407066052227343,0.5517199612403101
toxcast,226,auc,0.8191747572815534,0.959915611814346
toxcast,227,auc,0.5425824175824175,0.5191115702479339
toxcast,228,auc,0.6040229885057471,0.5619383825417201
toxcast,229,auc,0.7022664835164835,0.5551825993555317
toxcast,230,auc,0.6980392156862745,0.5463821892393321
toxcast,231,auc,0.7381342062193126,0.5812908496732027
toxcast,232,auc,0.4394736842105263,0.5497794580970384
toxcast,233,auc,0.593859649122807,0.7123420796890184
toxcast,234,auc,0.545417348608838,0.5617866004962779
toxcast,235,auc,0.7900641025641025,0.5151273885350318
toxcast,236,auc,0.5415032679738562,0.5654592803030303
toxcast,237,auc,0.5072815533980582,0.7961783439490446
toxcast,238,auc,0.5508771929824562,0.5466200466200466
toxcast,239,auc,0.5989247311827957,0.46572769953051646
toxcast,240,auc,0.5707547169811321,nan
toxcast,241,auc,0.6252577319587629,0.5936764705882352
toxcast,242,auc,0.9391025641025641,0.815625
toxcast,243,auc,0.5261494252873563,0.5882994186046512
toxcast,244,auc,0.5145631067961165,0.6227272727272727
toxcast,245,auc,0.6815508021390374,0.573139974779319
toxcast,246,auc,0.6702127659574468,0.5010644768856448
toxcast,247,auc,0.7024521531100478,0.49193548387096775
toxcast,248,auc,0.4807142857142857,0.7162293488824101
toxcast,249,auc,0.5634057971014492,0.5718513257575758
toxcast,250,auc,0.8773584905660378,0.334375
toxcast,251,auc,0.554531490015361,0.5937321937321938
toxcast,252,auc,0.6086847389558233,0.5808390022675737
toxcast,253,auc,0.5321759259259259,0.4731243001119821
toxcast,254,auc,0.7122641509433962,0.3858974358974359
toxcast,255,auc,0.5359477124183006,0.5174444444444445
toxcast,256,auc,0.7358490566037735,0.36730769230769234
toxcast,257,auc,0.5708435708435708,0.5409090909090909
toxcast,258,auc,0.5270114942528735,0.5843782654127482
toxcast,259,auc,0.5454042081949059,0.5018888888888889
toxcast,260,auc,0.536144578313253,0.5053875236294896
toxcast,261,auc,0.5765550239234449,0.5338709677419354
toxcast,262,auc,0.5980392156862745,0.49698694342149313
toxcast,263,auc,0.53315649867374,0.5314685314685315
toxcast,264,auc,0.6598039215686274,0.7616033755274262
toxcast,265,auc,0.548372513562387,0.5287114845938375
toxcast,266,auc,0.7657766990291263,0.7173566878980892
toxcast,267,auc,0.5470925470925471,0.5721264367816092
toxcast,268,auc,0.37142857142857144,0.36129032258064514
toxcast,269,auc,0.503125,0.5452617994100295
toxcast,270,auc,0.5781746031746032,0.5046753705010586
toxcast,271,auc,0.6013770180436847,0.6485754985754986
toxcast,272,auc,0.5891752577319588,0.7108843537414966
toxcast,273,auc,0.5543916196615633,0.5203381319049213
toxcast,274,auc,0.5708828522920204,0.5452921395544347
