task,target_index,metric,valid,test
toxcast,217,auc,0.6768734891216761,0.6271171489061397
toxcast,218,auc,0.6332417582417582,0.6296992481203008
toxcast,219,auc,0.6427536231884058,0.5827941176470588
toxcast,220,auc,0.6039473684210527,0.48733660130718953
toxcast,221,auc,0.6248780487804878,0.5048856932153393
toxcast,222,auc,0.6067415730337079,0.5031746031746032
toxcast,223,auc,0.7132183908045977,0.5672238372093024
toxcast,224,auc,0.6479885057471264,0.560250946969697
toxcast,225,auc,0.6267281105990783,0.6758720930232558
toxcast,226,auc,0.866504854368932,0.620253164556962
toxcast,227,auc,0.6442307692307693,0.6277892561983471
toxcast,228,auc,0.6123563218390805,0.5284552845528455
toxcast,229,auc,0.5724587912087912,0.5759935553168636
toxcast,230,auc,0.5901960784313726,0.4619666048237477
toxcast,231,auc,0.7311783960720131,0.5753676470588235
toxcast,232,auc,0.5780701754385965,0.6373660995589162
toxcast,233,auc,0.6964912280701754,0.7755102040816326
toxcast,234,auc,0.6407528641571195,0.49838709677419357
toxcast,235,auc,0.625,0.6170382165605095
toxcast,236,auc,0.6009803921568627,0.5473484848484849
toxcast,237,auc,0.5910194174757282,0.5835987261146497
toxcast,238,auc,0.6214912280701754,0.473970473970474
toxcast,239,auc,0.6331541218637993,0.5560250391236307
toxcast,240,auc,0.8018867924528302,nan
toxcast,241,auc,0.6494845360824743,0.5027941176470588
toxcast,242,auc,0.8557692307692307,0.7125
toxcast,243,auc,0.6304597701149425,0.5085998062015504
toxcast,244,auc,0.7233009708737864,0.666060606060606
toxcast,245,auc,0.5866310160427808,0.5094577553593947
toxcast,246,auc,0.7127659574468085,0.6300182481751825
toxcast,247,auc,0.7404306220095693,0.5698511166253102
toxcast,248,auc,0.51,0.5748299319727891
toxcast,249,auc,0.6253623188405797,0.5558712121212122
toxcast,250,auc,1.0,0.71875
toxcast,251,auc,0.6478494623655914,0.6075498575498576
toxcast,252,auc,0.6101907630522089,0.5638321995464852
toxcast,253,auc,0.6534722222222222,0.576427771556551
toxcast,254,auc,1.0,0.3391025641025641
toxcast,255,auc,0.6137254901960785,0.6242222222222222
toxcast,256,auc,0.9716981132075472,0.37564102564102564
toxcast,257,auc,0.6613431613431613,0.5770053475935829
toxcast,258,auc,0.7135057471264368,0.5974399164054337
toxcast,259,auc,0.627906976744186,0.6247777777777778
toxcast,260,auc,0.6034136546184738,0.6203213610586011
toxcast,261,auc,0.6175239234449761,0.6094292803970224
toxcast,262,auc,0.5588235294117647,0.6402745229327084
toxcast,263,auc,0.6801503094606542,0.5536130536130536
toxcast,264,auc,0.7284313725490196,0.4936708860759494
toxcast,265,auc,0.6274864376130199,0.5889355742296919
toxcast,266,auc,0.5922330097087378,0.4625796178343949
toxcast,267,auc,0.6105651105651105,0.5307471264367816
toxcast,268,auc,0.36666666666666664,0.4827956989247312
toxcast,269,auc,0.584375,0.6284107669616519
toxcast,270,auc,0.6998015873015873,0.5201129146083274
toxcast,271,auc,0.6728395061728395,0.5492877492877493
toxcast,272,auc,0.6170103092783505,0.5950680272108844
toxcast,273,auc,0.6017324738114423,0.5780046869768999
toxcast,274,auc,0.6383701188455009,0.6398696931483817
toxcast,275,auc,0.6176470588235294,0.6496881496881497
toxcast,276,auc,0.5789337474120083,0.5857506361323155
toxcast,277,auc,0.7519607843137255,0.4629139072847682
toxcast,278,auc,0.638095238095238,0.5593631014191762
toxcast,279,auc,0.6466417910447761,0.6102870813397129
toxcast,280,auc,0.6147540983606558,0.533573717948718
toxcast,281,auc,0.5901098901098901,0.5904478092783505
toxcast,282,auc,0.6412313432835821,0.588487071977638
toxcast,283,auc,0.9285714285714286,0.5407284768211921
toxcast,284,auc,0.6466437833714722,0.6007653061224489
toxcast,285,auc,0.9238095238095239,0.6311258278145695
toxcast,286,auc,0.6125565610859729,0.6472160766961652
toxcast,287,auc,0.553714859437751,0.6534013605442177
toxcast,288,auc,0.6527777777777778,0.6210884353741497
toxcast,289,auc,0.6814285714285714,0.5779883381924198
toxcast,290,auc,0.6412280701754386,0.6038580246913581
toxcast,291,auc,0.6424603174603175,0.6169871794871795
toxcast,292,auc,0.6433333333333333,0.632162823200559
toxcast,293,auc,0.615686274509804,0.49779458097038437
toxcast,294,auc,0.6551155115511551,0.278494623655914
toxcast,295,auc,0.6092384519350812,0.6205085682697623
toxcast,296,auc,0.6784804753820034,0.5607843137254902
toxcast,297,auc,0.6242949234488316,0.5411041883004499
toxcast,298,auc,0.6368983957219251,0.6171373555840821
toxcast,299,auc,0.6350931677018633,0.5181799075241699
toxcast,300,auc,0.6189320388349514,0.5533112582781456
toxcast,301,auc,0.6128716744913928,0.5356292517006803
toxcast,302,auc,0.6402865129280224,0.6373185047883843
toxcast,303,auc,0.6044142614601019,0.5968645016797313
toxcast,304,auc,0.6091867469879518,0.6732954545454546
toxcast,305,auc,0.6497835497835498,0.5354647099930119
toxcast,306,auc,0.6390977443609023,0.6059027777777778
toxcast,307,auc,0.6893939393939394,0.6846590909090909
toxcast,308,auc,0.7037037037037037,0.7088372093023256
toxcast,309,auc,0.7793103448275862,0.5475227502527806
toxcast,310,auc,0.6004464285714286,0.463680387409201
toxcast,311,auc,0.6411764705882353,0.640625
toxcast,312,auc,0.7620967741935484,0.5807962529274004
toxcast,313,auc,0.6953125,0.6836158192090396
toxcast,314,auc,0.7445887445887446,0.6
toxcast,315,auc,0.7625,0.5102040816326531
toxcast,316,auc,0.776,0.5134615384615384
toxcast,317,auc,0.6328125,0.6559454191033138
toxcast,318,auc,0.5102040816326531,0.5484949832775919
toxcast,319,auc,0.7466666666666667,0.6304347826086957
toxcast,320,auc,0.7936507936507936,0.5222222222222223
toxcast,321,auc,0.703125,0.6055555555555555
toxcast,322,auc,0.65625,0.7241379310344828
toxcast,323,auc,0.6825396825396826,0.5607985480943739
toxcast,324,auc,0.7222222222222222,0.5469387755102041
toxcast,325,auc,0.6958041958041958,0.5244107744107744
toxcast,326,auc,0.6993006993006993,0.6144781144781145
toxcast,327,auc,0.6574074074074074,0.4658119658119658
toxcast,328,auc,0.7132867132867133,0.7040816326530612
toxcast,329,auc,0.7285714285714285,0.6354515050167224
toxcast,330,auc,0.8071428571428572,0.6771929824561403
toxcast,331,auc,0.7,0.5981481481481481
toxcast,332,auc,0.8307692307692308,0.72
toxcast,333,auc,0.6031746031746031,0.4928774928774929
toxcast,334,auc,0.7962962962962963,0.6045454545454545
toxcast,335,auc,0.42857142857142855,0.534375
toxcast,336,auc,0.45263157894736844,0.5743243243243243
toxcast,337,auc,0.5909090909090909,0.5945121951219512
toxcast,338,auc,0.45,0.6782945736434108
toxcast,339,auc,0.6818181818181818,0.5652173913043478
toxcast,340,auc,0.7631578947368421,0.6018518518518519
toxcast,341,auc,0.685,0.528125
toxcast,342,auc,0.92,0.7241379310344828
toxcast,343,auc,nan,nan
toxcast,344,auc,0.6263157894736842,0.5694993412384717
toxcast,345,auc,0.58,0.7236842105263158
toxcast,346,auc,0.5166666666666667,0.38333333333333336
toxcast,347,auc,1.0,0.775
toxcast,348,auc,0.6666666666666666,0.5
toxcast,349,auc,nan,0.6794871794871795
toxcast,350,auc,0.6590909090909091,0.5222437137330754
toxcast,351,auc,0.3,0.496551724137931
toxcast,352,auc,0.9375,0.2
toxcast,353,auc,0.7638888888888888,0.7466666666666667
toxcast,354,auc,0.2,nan
toxcast,355,auc,1.0,0.6
toxcast,356,auc,0.75,0.6515151515151515
toxcast,357,auc,nan,0.5833333333333334
toxcast,358,auc,0.65,0.23076923076923078
toxcast,359,auc,0.7638888888888888,0.4297520661157025
toxcast,360,auc,1.0,0.6041666666666666
toxcast,361,auc,0.9,0.29545454545454547
toxcast,362,auc,0.75,0.6790123456790124
toxcast,363,auc,0.6,0.5708333333333333
toxcast,364,auc,0.4583333333333333,0.27380952380952384
toxcast,365,auc,0.6666666666666666,0.5714285714285714
toxcast,366,auc,0.7307692307692307,0.5578947368421052
toxcast,367,auc,0.8095238095238095,0.42857142857142855
toxcast,368,auc,1.0,0.6363636363636364
toxcast,369,auc,0.95,0.6190476190476191
