task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed,benchmark
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,64,0.6326241365751069,0.6114626539799836,3.178,t06,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,64,0.6778258499902018,0.7024469379478167,17.94,t06,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,64,0.7809944912741281,0.6806648782234205,41.007,t06,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,64,1.6927903602264487,1.8512834059493872,0.316,t06,42,ESOL
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,64,5.882734455597684,3.4148126648119055,0.148,t06,42,FreeSolv
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,64,1.1184301198106545,1.0485671496808564,1.959,t06,42,Lipo
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,64,134.1071312648351,134.53817631522918,1.2,t06,42,QM7
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,64,0.02452628221907924,0.026647897116306496,5.356,t06,42,QM8
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,64,0.015681294357688443,0.01833824218381355,27.284,t06,42,QM9
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,96,0.9389624614159116,0.6779996141975309,1.067,t07,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,96,0.7071428571428572,0.7951660580768563,0.963,t07,42,BACE
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,96,0.9466807840047277,0.8511451708198658,1.009,t07,42,ClinTox
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,96,0.7049184644476606,0.6844658937937834,4.382,t07,42,Tox21
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,96,0.690545699030296,0.5740066377139863,57.979,t07,42,ToxCast
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,96,0.6395495957358399,0.6043352624937958,3.824,t07,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,96,0.6946312218302959,0.7181502153382645,18.132,t07,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,96,0.777482778724758,0.67633763910206,42.042,t07,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,96,1.708756567743009,1.8104626614543022,0.342,t07,42,ESOL
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,96,5.735851115048348,3.3669389392769036,0.19,t07,42,FreeSolv
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,96,1.115453437545979,1.050114932262435,2.024,t07,42,Lipo
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,96,134.46725336462976,131.5109405924963,1.244,t07,42,QM7
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,96,0.02416951436825672,0.026325929195622374,6.048,t07,42,QM8
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,96,0.014720549387266852,0.01729470043722624,28.376,t07,42,QM9
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9406551827143284,0.6762635030864198,1.097,t08,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.6939560439560439,0.8069031472787341,0.99,t08,42,BACE
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9367288814471914,0.8894319327146978,1.023,t08,42,ClinTox
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7191845699544541,0.6794799023504859,4.847,t08,42,Tox21
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.691800197367467,0.5774594354201112,73.878,t08,42,ToxCast
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6266652247406548,0.6112886463407959,4.546,t08,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.696090228786988,0.7311902508739064,18.194,t08,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7582739081925294,0.6586498253040965,42.66,t08,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.7005897224009532,1.8553324858176947,0.357,t08,42,ESOL
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.897582871415851,3.3476718256315117,0.173,t08,42,FreeSolv
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1105483419389122,1.045209874429294,2.048,t08,42,Lipo
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,135.19774587727176,141.88394323641563,1.293,t08,42,QM7
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.024088851425232486,0.02606735591000367,6.483,t08,42,QM8
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014431259923077628,0.016870447944867573,29.075,t08,42,QM9
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,96,0.9372697401174948,0.669897762345679,1.065,t09,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,96,0.7058608058608059,0.816205877238741,0.971,t09,42,BACE
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,96,0.9562461013165238,0.8372945122163139,0.937,t09,42,ClinTox
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,96,0.7084839549156445,0.6766283829589831,4.672,t09,42,Tox21
