task,target_index,metric,valid,test
toxcast,203,auc,0.7735943775100401,0.586234493797519
toxcast,204,auc,0.627992277992278,0.5350771869639794
toxcast,205,auc,0.7151799687010955,0.6024839743589744
toxcast,206,auc,0.64375,0.540711199734131
toxcast,207,auc,0.701450443190975,0.5957482993197278
toxcast,208,auc,0.7226190476190476,0.5232142857142857
toxcast,209,auc,0.780952380952381,0.608534322820037
toxcast,210,auc,0.7494131455399061,0.5674589889521259
toxcast,211,auc,0.700339558573854,0.6171526586620927
toxcast,212,auc,0.7135167464114832,0.5547058823529412
toxcast,213,auc,0.6377334465195246,0.6029411764705882
toxcast,214,auc,0.6095238095238096,0.7955974842767296
toxcast,215,auc,0.6670833333333334,0.5981023102310231
toxcast,216,auc,0.6202153110047847,0.6262158406669754
toxcast,217,auc,0.6817082997582594,0.536697247706422
toxcast,218,auc,0.6332417582417582,0.6490332975295381
toxcast,219,auc,0.6333333333333333,0.5955882352941176
toxcast,220,auc,0.6776315789473685,0.610702614379085
toxcast,221,auc,0.7619512195121951,0.586098820058997
toxcast,222,auc,0.5667915106117354,0.6022675736961451
toxcast,223,auc,0.7597701149425288,0.5641957364341085
toxcast,224,auc,0.7663793103448275,0.5785984848484849
toxcast,225,auc,0.6390168970814132,0.6918604651162791
toxcast,226,auc,0.7075242718446602,0.740506329113924
toxcast,227,auc,0.6668956043956044,0.6183884297520661
toxcast,228,auc,0.7241379310344828,0.5697475395806589
toxcast,229,auc,0.6057692307692307,0.5314178302900108
toxcast,230,auc,0.5705882352941176,0.3719851576994434
toxcast,231,auc,0.6166121112929623,0.6317401960784313
toxcast,232,auc,0.6298245614035087,0.5456836798991809
toxcast,233,auc,0.6771929824561403,0.8061224489795918
toxcast,234,auc,0.6247954173486089,0.5816377171215881
toxcast,235,auc,0.9326923076923077,0.517515923566879
toxcast,236,auc,0.5970588235294118,0.6199100378787878
toxcast,237,auc,0.537621359223301,0.5127388535031847
toxcast,238,auc,0.6280701754385964,0.722027972027972
toxcast,239,auc,0.7372759856630824,0.4968701095461659
toxcast,240,auc,0.6556603773584906,nan
toxcast,241,auc,0.7314432989690721,0.5273529411764706
toxcast,242,auc,0.7403846153846154,0.9125
toxcast,243,auc,0.6135057471264368,0.6068313953488372
toxcast,244,auc,0.5339805825242718,0.6006060606060606
toxcast,245,auc,0.6307486631016043,0.5458175704077344
toxcast,246,auc,0.7684124386252046,0.6733576642335767
toxcast,247,auc,0.7093301435406698,0.5915632754342431
toxcast,248,auc,0.615,0.532555879494655
toxcast,249,auc,0.6192028985507246,0.6053503787878788
toxcast,250,auc,0.8018867924528302,0.15625
toxcast,251,auc,0.7223502304147466,0.6686609686609687
toxcast,252,auc,0.6583835341365462,0.6448979591836734
toxcast,253,auc,0.6456018518518518,0.5579507278835386
toxcast,254,auc,0.9433962264150944,0.27564102564102566
toxcast,255,auc,0.715359477124183,0.6428888888888888
toxcast,256,auc,0.7641509433962265,0.5128205128205128
toxcast,257,auc,0.733005733005733,0.5417112299465241
toxcast,258,auc,0.6629310344827586,0.601619644723093
toxcast,259,auc,0.7812846068660022,0.5537777777777778
toxcast,260,auc,0.6757028112449799,0.5346880907372401
toxcast,261,auc,0.7245813397129187,0.5667493796526054
toxcast,262,auc,0.6459276018099548,0.5990123870103783
toxcast,263,auc,0.6699823165340407,0.5743978243978244
toxcast,264,auc,0.6490196078431373,0.7805907172995781
toxcast,265,auc,0.7190325497287523,0.562625050020008
toxcast,266,auc,0.7063106796116505,0.5302547770700637
toxcast,267,auc,0.702088452088452,0.599808429118774
toxcast,268,auc,0.8476190476190476,0.5225806451612903
toxcast,269,auc,0.6539583333333333,0.5795538348082596
toxcast,270,auc,0.6930555555555555,0.6052399435426958
toxcast,271,auc,0.5935422602089269,0.6373219373219373
toxcast,272,auc,0.6396907216494845,0.6156462585034014
toxcast,273,auc,0.7074939564867043,0.5478741211918313
toxcast,274,auc,0.6279711375212224,0.5689365279529214
toxcast,275,auc,0.7823529411764706,0.5818607068607069
toxcast,276,auc,0.562888198757764,0.6267175572519084
toxcast,277,auc,0.7196078431372549,0.5774834437086093
toxcast,278,auc,0.6763888888888889,0.6056593977154725
toxcast,279,auc,0.7212686567164179,0.5353269537480064
toxcast,280,auc,0.699928724162509,0.5617788461538461
toxcast,281,auc,0.6857142857142857,0.537451675257732
toxcast,282,auc,0.6270522388059702,0.6056953179594688
toxcast,283,auc,0.9285714285714286,0.730794701986755
toxcast,284,auc,0.698512585812357,0.6069606413994169
toxcast,285,auc,0.8952380952380953,0.6642384105960265
toxcast,286,auc,0.6770361990950227,0.5418510324483776
toxcast,287,auc,0.7216365461847389,0.5814058956916099
toxcast,288,auc,0.762962962962963,0.6249433106575963
toxcast,289,auc,0.6114285714285714,0.510689990281827
toxcast,290,auc,0.708421052631579,0.5700617283950618
toxcast,291,auc,0.7361111111111112,0.5644399460188934
toxcast,292,auc,0.7495833333333334,0.5925925925925926
toxcast,293,auc,0.888235294117647,0.6235034656584751
toxcast,294,auc,0.5181518151815182,0.6978494623655914
toxcast,295,auc,0.6969413233458177,0.6116639027086789
toxcast,296,auc,0.7213497453310697,0.5875222816399287
toxcast,297,auc,0.6970185334407736,0.5578920041536864
toxcast,298,auc,0.643048128342246,0.5907145913564399
toxcast,299,auc,0.7207556935817805,0.5935266918873476
toxcast,300,auc,0.7451456310679612,0.46688741721854304
